scenario,time_days,temperature_change_c,completed_cycles,mechanical_mm,thermal_recoverable_mm,hydraulic_transient_mm,cyclic_residual_mm,total_settlement_mm,allowable_settlement_mm,u_upper_silty_clay_kpa,u_sandy_silt_kpa,u_dense_sand_kpa
Bridge-abutment retrofit,2417.511049723757,-5.431680390145736,6.0,11.666666666666666,-0.6281359384673777,1.772164289166741,0.3644679338750654,13.175162951241095,15.0,-58.1094564084143,-38.536704569357376,-8.793326518679947
Bridge-abutment retrofit,2419.529005524862,-5.632254756144944,6.0,11.666666666666666,-0.6513309644206685,1.5948214362246333,0.3644679338750654,12.974625072345695,15.0,-59.988186866972846,-39.190436675794466,-8.688894551524157
Bridge-abutment retrofit,2421.5469613259665,-5.8260426938447205,6.0,11.666666666666666,-0.673741187292313,1.4156792549724622,0.3644679338750654,12.77307266822188,15.0,-61.79508922014878,-39.796947362408936,-8.573993143189409
Bridge-abutment retrofit,2423.5649171270716,-6.012810703873853,6.0,11.666666666666666,-0.6953396045092337,1.2349533349811788,0.3644679338750654,12.570748331013675,15.0,-63.52798531802501,-40.35550583101276,-8.448760740923273
Bridge-abutment retrofit,2425.5828729281766,-6.192333745327017,6.0,11.666666666666666,-0.7161001916609153,1.0528611746684917,0.3644679338750654,12.367895583549307,15.0,-65.18478618454752,-40.86543906210564,-8.313348240016285
Bridge-abutment retrofit,2427.6008287292816,-6.364395506921848,6.0,11.666666666666666,-0.735997933856829,0.8696219192287967,0.3644679338750654,12.164758585913699,15.0,-66.76349453457722,-41.32613262581239,-8.16791880198513
Bridge-abutment retrofit,2429.6187845303866,-6.528788667637174,6.0,11.666666666666666,-0.7550088558674242,0.6854560965791097,0.3644679338750654,11.961581841253416,15.0,-68.2622071804583,-41.737031422223104,-8.012647657975794
Bridge-abutment retrofit,2431.6367403314916,-6.685315146518354,6.0,11.666666666666666,-0.7731100510123738,0.5005853516389042,0.3644679338750654,11.758609901168262,15.0,-69.67911732520328,-42.0976403502433,-7.847721897622768
Bridge-abutment retrofit,2433.6546961325967,-6.8337863413499065,6.0,11.666666666666666,-0.7902797087613983,0.3152321792640437,0.3644679338750654,11.556087071044377,15.0,-71.01251673954322,-42.4075249041551,-7.673340243621992
Bridge-abutment retrofit,2435.6726519337017,-6.974023355906003,6.0,11.666666666666666,-0.8064971410141994,0.12961965615659454,0.3644679338750654,11.354257115684126,15.0,-72.26079782020162,-42.66631169715998,-7.489712812284141
Bridge-abutment retrofit,2437.6906077348067,-7.105857215506831,6.0,11.666666666666666,-0.8217428070280499,-0.05602882792642205,0.3644679338750654,11.15336296558726,15.0,-73.42245552693016,-42.873688911282734,-7.297060860361801
Bridge-abutment retrofit,2439.7085635359117,-7.229129070619771,6.0,11.666666666666666,-0.8359983369628484,-0.24148983934148205,0.3644679338750654,10.953646424237402,15.0,-74.49608919595904,-43.02940667308696,-7.095616518451879
Bridge-abutment retrofit,2441.7265193370163,-7.343690388260712,6.0,11.666666666666666,-0.8492465540153473,-0.42654016977985343,0.3644679338750654,10.755347876746532,15.0,-75.48040422768337,-43.13327735475326,-6.885622511296452
Bridge-abutment retrofit,2443.7444751381213,-7.449403130964808,6.0,11.666666666666666,-0.8614714951158704,-0.6109571052175934,0.3644679338750654,10.558706000208268,15.0,-76.37421364655098,-43.18517580015606,-6.667331865318089
Bridge-abutment retrofit,2445.7624309392263,-7.54613992311083,6.0,11.666666666666666,-0.872658430162565,-0.7945186942695326,0.3644679338750654,10.363957476109634,15.0,-77.17643953127107,-43.185039475667494,-6.4410076037433255
Bridge-abutment retrofit,2447.7803867403313,-7.633784204398741,6.0,11.666666666666666,-0.882793879770012,-0.9770040156247486,0.3644679338750654,10.17133670514697,15.0,-77.88611431361949,-43.132868545504344,-6.2069224296793335
