time_days,numerical_kpa,analytical_kpa,absolute_error_kpa
28.0,7.047805746920263,7.047805746920267,4.440892098500626e-15
28.5,7.13416729093731,7.134167290937316,5.329070518200751e-15
29.0,7.219456034624923,7.219456034624926,3.552713678800501e-15
29.5,7.30368530452282,7.303685304522824,3.552713678800501e-15
30.0,7.386868261625791,7.3868682616257955,4.440892098500626e-15
30.5,7.469017903440121,7.469017903440124,2.6645352591003757e-15
31.0,7.550147066014476,7.55014706601448,4.440892098500626e-15
31.5,7.630268425945569,7.630268425945571,2.6645352591003757e-15
32.0,7.7093945023588955,7.709394502358899,3.552713678800501e-15
32.5,7.7875376588648795,7.787537658864884,4.440892098500626e-15
33.0,7.864710105490709,7.864710105490712,2.6645352591003757e-15
33.5,7.940923900588176,7.940923900588179,2.6645352591003757e-15
34.0,8.016190952717826,8.016190952717826,0.0
34.5,8.090523022509682,8.090523022509684,1.7763568394002505e-15
35.0,8.16393172450088,8.163931724500882,1.7763568394002505e-15
35.5,8.23642852895046,8.236428528950462,1.7763568394002505e-15
36.0,8.30802476363161,8.308024763631613,3.552713678800501e-15
36.5,8.378731615601664,8.378731615601668,3.552713678800501e-15
37.0,8.448560132950096,8.448560132950101,5.329070518200751e-15
37.5,8.517521226524808,8.517521226524815,7.105427357601002e-15
38.0,8.585625671636977,8.585625671636985,7.105427357601002e-15
38.5,8.652884109744708,8.652884109744717,8.881784197001252e-15
39.0,8.719307050115797,8.719307050115804,7.105427357601002e-15
39.5,8.784904871469811,8.78490487146982,8.881784197001252e-15
40.0,8.8496878235998,8.849687823599808,8.881784197001252e-15
40.5,8.913666028973832,8.913666028973843,1.0658141036401503e-14
41.0,8.97684948431667,8.976849484316677,7.105427357601002e-15
41.5,9.03924806217175,9.03924806217176,1.0658141036401503e-14
42.0,9.100871512443815,9.100871512443828,1.2434497875801753e-14
42.5,9.161729463922345,9.161729463922358,1.2434497875801753e-14
43.0,9.221831425786077,9.221831425786089,1.2434497875801753e-14
43.5,9.28118678908883,9.28118678908884,1.0658141036401503e-14
44.0,9.339804828226875,9.339804828226889,1.4210854715202004e-14
44.5,9.39769470238809,9.397694702388103,1.2434497875801753e-14
45.0,9.454865456983091,9.454865456983105,1.4210854715202004e-14
45.5,9.511326025058597,9.511326025058612,1.4210854715202004e-14
46.0,9.567085228693244,9.567085228693255,1.0658141036401503e-14
46.5,9.622151780376036,9.62215178037605,1.4210854715202004e-14
47.0,9.67653428436771,9.676534284367722,1.2434497875801753e-14
47.5,9.730241238045156,9.73024123804517,1.4210854715202004e-14
48.0,9.78328103322916,9.783281033229171,1.0658141036401503e-14
48.5,9.83566195749562,9.835661957495633,1.2434497875801753e-14
49.0,9.887392195470529,9.887392195470543,1.4210854715202004e-14
49.5,9.938479830108813,9.938479830108829,1.5987211554602254e-14
50.0,9.988932843957326,9.98893284395734,1.4210854715202004e-14
50.5,10.03875912040213,10.038759120402142,1.2434497875801753e-14
51.0,10.087966444900285,10.087966444900298,1.2434497875801753e-14
51.5,10.136562506196363,10.136562506196379,1.5987211554602254e-14
52.0,10.184554897523808,10.184554897523826,1.7763568394002505e-14
52.5,10.231951117791409,10.231951117791427,1.7763568394002505e-14
53.0,10.278758572755013,10.278758572755029,1.5987211554602254e-14
53.5,10.324984576174682,10.3249845761747,1.7763568394002505e-14
54.0,10.370636350957502,10.37063635095752,1.7763568394002505e-14
54.5,10.415721030286162,10.415721030286182,1.9539925233402755e-14
55.0,10.460245658733532,10.46024565873355,1.7763568394002505e-14
55.5,10.504217193363395,10.504217193363411,1.5987211554602254e-14
56.0,10.547642504817492,10.54764250481751,1.7763568394002505e-14
56.5,10.590528378389092,10.590528378389111,1.9539925233402755e-14
57.0,10.632881515083191,10.632881515083213,2.1316282072803006e-14
57.5,10.674708532663567,10.674708532663589,2.1316282072803006e-14
58.0,10.716015966686816,10.716015966686834,1.7763568394002505e-14
58.5,10.75681027152354,10.756810271523559,1.9539925233402755e-14
59.0,10.797097821366867,10.797097821366888,2.1316282072803006e-14
59.5,10.83688491122843,10.836884911228449,1.9539925233402755e-14
60.0,10.876177757921962,10.876177757921985,2.3092638912203256e-14
60.5,10.914982501034709,10.914982501034727,1.7763568394002505e-14
