source,load_ratio,cycle,settlement_mm
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,4.0,0.8167
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,5.0,0.8575
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,6.0,0.8847
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,7.0,0.903
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,8.0,0.9157
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,9.0,0.9253
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,10.0,0.9328
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,11.0,0.939
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,12.0,0.944
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,13.0,0.9481
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,14.0,0.9516
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,15.0,0.9544
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,16.0,0.9568
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,17.0,0.9588
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,18.0,0.9605
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,19.0,0.9618
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,20.0,0.963
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,21.0,0.964
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,22.0,0.9648
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,23.0,0.9655
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,24.0,0.966
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,25.0,0.9665
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,26.0,0.9669
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,27.0,0.9673
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,28.0,0.9675
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,29.0,0.9678
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,30.0,0.968
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,0.0,0.0
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,1.0,0.8706
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,2.0,1.3862
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,3.0,1.7096
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,4.0,1.9091
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,5.0,2.0344
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,6.0,2.1141
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,7.0,2.1654
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,8.0,2.1989
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,9.0,2.2212
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,10.0,2.2363
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,11.0,2.2474
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,12.0,2.2559
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,13.0,2.2627
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,14.0,2.2683
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,15.0,2.2728
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,16.0,2.2766
