scenario,sample,load_ratio,thermal_amplitude_c,mv_factor,cv_factor,lambda_factor,tm_peak_mm,full_peak_mm,residual_mm,full_exceeds,false_safe
Building foundation,473,0.4113538541421205,7.329716831256183,1.030093878199585,0.442920426583141,1.1986355796690735,14.088174669136475,18.679993331929495,13.377870640481627,False,False
Building foundation,474,0.35907807813357195,9.618541427398142,0.7040043071424793,0.4076657427254018,1.162994513384406,11.73757479294787,15.344776290388722,10.638713165820034,False,False
Building foundation,475,0.44374342334492245,8.082197219842307,1.0965673748996752,0.8893359179162666,1.3682577981812376,10.990590509469374,21.101711994094885,10.23104440113782,False,False
Building foundation,476,0.4327940707403168,7.642307026473131,1.1550418335626542,1.3350237464995973,1.189507027878412,10.63782447272986,21.875438516553487,9.919700290945586,False,False
Building foundation,477,0.3567173060795338,8.864410998234096,1.3281310192814169,0.5555019718026456,1.1655112636362408,9.760829123033002,18.110176623844872,8.761818431618062,False,False
Building foundation,478,0.3886401967218488,10.200697905614252,0.6531007444810913,1.6133834602074357,1.3510513142221976,11.99039594719558,22.60060513576593,10.853449133877593,False,False
Building foundation,479,0.39830221392720166,8.449000745168828,0.9590667537620052,0.3763400058141524,1.2921604898502588,15.872312257216233,20.556263946172876,14.988993471136498,False,False
Building foundation,480,0.4475974996537475,10.487588806016669,0.9682566263432288,2.8690639056474487,1.3962238947391883,15.893637385647981,38.93792806629938,14.812308514027565,True,True
Building foundation,481,0.4024874023087985,10.513099125330763,1.282966257484125,1.375677546337163,1.1158631600833009,13.1420794118143,29.56037454134959,11.983262821939242,True,True
Building foundation,482,0.4184718931856164,9.183400063148948,1.1240391816883522,0.9234199187756129,1.3388385754425254,12.68016147577245,24.48704741756286,11.728050067448276,False,False
Building foundation,483,0.36970087856215156,9.020322881298487,1.2298670098976423,0.7111585108875372,0.7072011536310892,13.356706260133215,18.829086446708484,12.353957128592315,False,False
Building foundation,484,0.3782703737786053,9.086999415185591,0.722613265067678,0.4771916244739468,0.9855762706179729,16.45464658591079,19.76514958982128,15.45480161132661,False,False
Building foundation,485,0.3495161992770805,10.5690274929689,1.0724704322809893,1.6837437248866092,1.1121100332178617,16.51297125226309,31.891477492610345,15.271771665332963,True,True
Building foundation,486,0.3874148901464925,10.19231961407576,1.1296330338849878,0.32116940994872684,1.3662184108202042,12.194144665514953,18.518743443764528,11.056545191220993,False,False
Building foundation,487,0.43668033190903804,8.538128517562665,0.629216241893695,2.815726905062835,1.3069312476035617,14.153152951588511,25.336549439498775,13.319247921975355,True,True
Building foundation,488,0.3521993856103157,8.250232885040989,0.907149991020447,0.5118753804924123,1.1774042315977464,12.530869843431441,17.46094417057667,11.609804835238966,False,False
Building foundation,489,0.46041931502386096,10.17188287531397,0.8515040354260415,2.124717599241493,1.3206148073908885,15.791137348862582,31.65194109076206,14.775729939191347,True,True
Building foundation,490,0.4273365920078763,7.322453395480972,1.0582909263922775,2.5858907306116254,1.2546806775582655,10.420026262314893,25.418339787491313,9.736499581626308,True,True
Building foundation,491,0.3930173254016884,10.357449648338756,1.1939855610805614,0.33559085102059816,0.8077478321880519,13.225431382993213,17.197221645770735,12.073554058969457,False,False
Building foundation,492,0.4226071433912676,10.595528475121647,0.8812846634542403,0.4741188681789464,1.0962933772023205,12.336014533184528,17.698659309174428,11.197755458638651,False,False
Building foundation,493,0.4105087817313316,8.247294708034945,0.8725617260353068,0.5075855203785596,1.2211981309775601,17.976483296219786,22.861759942759406,17.139543606729937,False,False
Building foundation,494,0.3511760326135655,9.467975376158714,0.805072550107063,0.9534173146640723,1.2924618198259836,10.831036418792529,19.288896440375527,9.742344869478343,False,False
Building foundation,495,0.3864922393227859,8.47124531886089,1.2680091162803062,1.6913194694542735,0.62341931143615,12.438640269052707,20.520112533853826,11.534724999196035,False,False
Building foundation,496,0.37608128811172814,8.638485825715923,1.35411412102246,2.543281423874964,0.9155455914262294,12.94410981393144,29.3040238930061,12.00241449077823,True,True
Building foundation,497,0.41902809077357517,8.32159802010776,0.9222070322635831,2.8758739990027844,1.0927633772668734,14.673017399875373,28.240946084547772,13.83949077349413,True,True
Building foundation,498,0.43474916505031147,7.266045556864192,1.3801800345517803,2.7013418358544494,0.7758937333988025,15.98314599906373,28.20170389437675,15.3196928076292,True,True
Building foundation,499,0.4120236325558142,7.305931841249769,1.149560909293669,0.6273848273883678,1.2173762339269167,15.748695112994856,22.48244325119171,15.042695542484582,False,False
Building foundation,500,0.3860385130110044,8.996020008768722,1.3980090720030627,1.1386202481920322,1.0266723838402698,10.816206576533117,23.380136495909902,9.839965616654112,False,False
Building foundation,501,0.4305586656423925,7.580479597030878,0.6720240079794856,0.9482744796873973,1.1100930601322978,16.76151447124815,21.509013027026377,16.04809628972549,False,False
Building foundation,502,0.3680151562628356,9.537778339452554,1.1892735745307548,0.3302197635014941,1.1060329816430525,12.083488028915415,17.1655543566777,11.007751725139563,False,False
Building foundation,503,0.3575449466291323,10.012085610734795,1.0839819621874929,1.489212447586863,0.6766797329287928,13.569832019693296,21.763765867576915,12.415189018649633,False,False
Building foundation,504,0.44735038159591395,8.49325608039708,1.205156199441619,2.2853182734858284,1.3652078847644755,14.423729803167783,34.71702471618278,13.614318307875655,True,True
Building foundation,505,0.4223476083526345,9.818285511518875,0.8643510122271136,1.439751150723844,1.0951325080290104,17.67655029684517,27.941731301847696,16.644010176920613,True,True
Building foundation,506,0.3759214074629444,8.779602615348892,0.8475357299417617,2.3551865823807274,1.164448506948434,14.412004912929634,27.0655985579335,13.45081291314943,True,True
Building foundation,507,0.46999346358638033,8.6948446133288,1.3021548619750396,0.33830100424405074,0.918999247408692,18.584622650302325,22.844490870835763,17.788470929412245,False,False
Building foundation,508,0.3818848891677846,8.69259257915208,1.2070982099387404,1.2881041559934994,1.2585702521802586,15.517837760273377,29.39313347681377,14.577020759452594,True,True
Building foundation,509,0.4031139672184236,7.702422276604006,1.1556589681751472,2.062474552882989,0.9238180170067998,10.843062876479511,22.048392255010235,10.069038721975096,False,False
Building foundation,510,0.37642553122116085,7.486745929726947,0.9483846385947154,0.8863282333241833,1.2068243766131626,9.994880109653414,17.04358018074353,9.210954217728391,False,False
Building foundation,511,0.4516287680067897,8.801554110548103,1.1252476805900964,1.477727993022381,1.1022020275322602,18.803898276214053,31.1703896211776,17.959902636770693,True,True
Building foundation,512,0.3644028964051456,8.226339033212577,1.383758169735545,0.9403390112108115,0.9826126608611322,16.48473274200222,26.116339179028838,15.583155459671001,True,True
Building foundation,513,0.42687774415980695,9.676346952642138,1.0750019401956965,2.7431122828135193,0.9968487554392007,15.687906969838313,32.097082642398945,14.682171761068425,True,True
Building foundation,514,0.3560634090695968,8.75647967060422,1.0344783751320827,0.80307635014431,1.3529526661184488,16.352872704879097,25.88721889428738,15.3677376288055,True,True
Building foundation,515,0.4190210803273705,9.90320876449707,1.021904824286364,0.5649488470238649,1.383242222016914,12.253591838500258,20.826563956062365,11.204066679611971,False,False
Building foundation,516,0.35804839129689997,8.960818659201673,1.3398332256964447,1.2069740517776648,1.0209534343443745,11.625617061896683,23.967621473300404,10.615204886478287,False,False
Building foundation,517,0.4342449097726589,8.293874831926123,1.0323573079751185,0.6682543767319885,1.1884053127155958,15.360077496412703,22.30893664521262,14.555412517928323,False,False
Building foundation,518,0.42211053824379924,8.381304478053341,1.327689814428171,0.32027639317729,0.747951864077031,12.450955892776857,15.643986852681278,11.614266443505615,False,False
Building foundation,519,0.4484992193450091,8.504635811537964,0.9541525493313299,0.7933892319760594,1.2521049111779492,16.229741291861234,24.014594965290776,15.420785734623843,False,False
Building foundation,520,0.43660920850543805,8.120359158664339,0.6245763141148464,1.9259502070380432,1.1106821969009384,14.210713527855772,21.496869445400527,13.43373914167827,False,False
Building foundation,521,0.4365053950798234,7.997954608550319,1.272970866589009,0.6007403052510568,1.3776047225802301,11.65676311797499,20.729806303628905,10.896328511793634,False,False
Building foundation,522,0.374533897733744,8.12093344601844,0.85600281301079,0.41526777493972755,1.0218999478049517,11.53511387829559,14.858651728070221,10.661918327749188,False,False
Building foundation,523,0.39931444049288434,7.961282892776741,1.1026523334206664,2.0999249495190653,0.7995239330990723,12.110838841890196,21.717862778719766,11.295658797303533,False,False
Building foundation,524,0.3739157137997941,7.2442583841083525,0.9398913627672716,2.019889325695836,1.169733879166742,10.493058810829178,21.2302945135151,9.738716353748716,False,False
Building foundation,525,0.40265360125494687,8.51710739995709,1.0964605284415792,2.099489902680235,1.1957525761186805,12.57739455787464,28.01369772876493,11.69140871435126,True,True
Building foundation,526,0.4491242866781699,8.15401825839473,1.1442968961915487,0.47947482721895823,0.7916364500754781,16.37505981119797,20.254639191058857,15.615081397323596,False,False
Building foundation,527,0.429237358844319,9.969501533082981,0.9523628105483446,1.7513030602553985,0.7047460207148468,11.740939804913314,19.925236156336588,10.699075224713669,False,False
Building foundation,528,0.37791995063054445,8.297334120369126,1.018164201105771,1.429545635889796,1.1274746807127374,11.530901242463422,22.08511060399867,10.638396455572034,False,False
Building foundation,529,0.35276779675794123,9.7552878952233,0.9509080603776019,1.6007447340536256,0.8259970754990675,10.397726674109556,19.348898447066144,9.271869641816558,False,False
Building foundation,530,0.44462808080618543,9.103994573252832,0.6926466804985227,0.8293779339713033,0.8235388310849645,16.478645564563138,20.38427759711397,15.581093109355818,False,False
Building foundation,531,0.34661700650783894,7.473139633789998,1.0440060768744597,1.7592085798846935,1.0499080064657051,12.602980357916344,22.822972785185733,11.780840542196866,False,False
Building foundation,532,0.42196111249301127,8.96412890528583,1.215987294717957,0.6839942439402172,0.8404003598055261,11.102531471526488,17.39160127823401,10.186007635586535,False,False
Building foundation,533,0.39632707764688985,7.630109713784781,1.3319122882115058,2.6549362232737432,1.0764603863626676,17.118370081858327,34.24279458429304,16.343898464484777,True,True
Building foundation,534,0.45101611891034216,7.965067393172145,1.2710843940318137,0.33955198158510635,1.2825539991828183,14.332099107600108,19.816289794886693,13.60125352013718,False,False
Building foundation,535,0.369889208527725,10.063066359243376,1.1107332067070104,2.4047780777265326,0.7920004912617378,15.14962408263733,28.17938961531879,14.004736571814272,True,True
Building foundation,536,0.42418902025220206,8.092994125913338,0.7186753159412548,0.391540629514273,0.7128136120776631,10.825129693780514,12.564828867478605,10.031203033400699,False,False
Building foundation,537,0.3867673949545706,7.891113438522026,1.1598702405314778,0.32834234383848854,0.925593091844826,16.33821680939587,19.68597134357944,15.513926961845073,False,False
Building foundation,538,0.4100675050554657,8.916683360943086,0.9647052350454288,1.7374163832011884,1.2759824582956272,18.904650338868336,32.547683812058274,17.975604839784303,True,True
Building foundation,539,0.3747010938640129,7.224309239995793,1.316871545733097,1.7755073256664387,0.6085459620847146,11.005943277766535,18.195426693932163,10.255426929395583,False,False
Building foundation,540,0.39444919537718115,10.23724898411927,1.2281601082038642,1.6205440201461425,0.997812165210231,16.273979860419118,31.261104601668094,15.140655085363045,True,True
Building foundation,541,0.40090136587549685,8.931642076625973,1.133796295475737,1.7307102742871014,1.0481168522123456,14.852292621311495,28.002609918199553,13.907015328726667,True,True
Building foundation,542,0.4532479238287364,8.073178316296907,1.2355057024607552,1.6122225254359246,1.0279614923259068,17.461418117939566,29.68752442917565,16.719758588193674,True,True
Building foundation,543,0.3945412434238725,10.040412183669662,0.6721768079596062,1.3789171448270754,1.3319129248559367,13.286947726632253,22.940138157347214,12.180641045802934,False,False
Building foundation,544,0.4047055499703116,9.424404335558606,1.1728425503095674,0.6095467569221048,1.2736575708871622,12.79821342497595,21.92103517232883,11.791484674824348,False,False
Building foundation,545,0.4070135584375761,9.217488118603267,0.9413776105922171,0.4585949500291206,1.1534191866239485,16.33624897748763,21.499201195623385,15.361353827183422,False,False
Building foundation,546,0.3784379491419123,7.879190227947486,0.8602736626227385,0.8757267667620857,0.7431528478377346,10.942055060648139,14.910514116274657,10.107388618044036,False,False
Building foundation,547,0.3545557043405708,9.668188809477325,0.6575763840192869,1.6589767397468238,1.39645630095836,16.645832783286433,27.297697093246818,15.534209358654717,True,True
Building foundation,548,0.35895213139901844,7.770425830825929,1.2848636947433065,1.5506831690075566,0.8736284797352802,12.012190441835086,22.14116868941365,11.16554251050713,False,False
Building foundation,549,0.4062429352524326,7.221557068013565,1.1441934945011276,1.8711535044066059,0.8983505492489998,16.239055872394545,25.812618461416143,15.535531140643652,True,True
Building foundation,550,0.37454779126554855,8.314344370781988,0.9662300380859867,1.3476048891899148,0.9360301925970334,10.473678994499634,18.4399454712284,9.574090452375973,False,False
Building foundation,551,0.38695554398876025,8.919389629912676,0.9058178980100741,0.9089893547647447,1.2704513799103767,14.490772188951828,23.07657752985985,13.52633422492916,False,False
Building foundation,552,0.4147300307692714,7.869726065673451,0.7117106506755699,0.3388913891711534,1.3531415313145256,12.95778116805425,15.995446218873997,12.179078918279426,False,False
Building foundation,553,0.38499495524400473,10.092920184281358,1.3639845029123714,1.3852906870378905,1.3902335454934427,11.967308339513796,33.07983575254384,10.83975485436109,True,True
Building foundation,554,0.35323934058472295,7.988163197962989,1.0676810667199228,1.975263475390305,1.1404001059516942,11.29776857773388,24.2812520470774,10.413848389180163,False,False
Building foundation,555,0.4275766571187903,8.595104756597904,1.0322335931641207,1.022639931538848,1.3885331235588658,11.364817518279304,22.575381972094622,10.507892112018997,False,False
Building foundation,556,0.4060486163064543,10.193079442317432,1.1957435384987651,1.8679857096367531,0.8786823855037742,18.196309158788768,32.00401385680694,17.08668728745687,True,True
Building foundation,557,0.3902836388499011,8.126457909911407,1.2852805463755073,0.35135458239084444,0.735548109107597,16.171420884970978,19.337574915324574,15.320156461752578,False,False
Building foundation,558,0.38726970086605217,9.275666763665603,0.9285730691244559,2.2263951476552744,0.893960689916549,12.5502371700026,23.40926003757673,11.53760479439302,False,False
